iter	RMSE
0	0.9450725018
1	0.9338312104
2	0.9220799571
3	0.9119653537
4	0.9025149926
5	0.893744891
6	0.8855814927
7	0.8779241395
8	0.869847339
9	0.863058914
10	0.8569870533
11	0.8515647985
12	0.8459438487
13	0.8405204536
14	0.8352288809
15	0.8304079173
16	0.8262400982
17	0.82221427
18	0.8183817947
19	0.8146160702
20	0.810791701
21	0.8076573734
22	0.8045709389
23	0.8018451703
24	0.79899445
25	0.7962915233
26	0.7937208531
27	0.791397873
28	0.7893295129
29	0.786940514
30	0.7849117139
31	0.7831396892
32	0.7812525662
33	0.7795241342
34	0.7778827881
35	0.7763223465
36	0.774857783
37	0.7734975246
38	0.7718707988
39	0.7707512638
40	0.7694147871
41	0.768055031
42	0.7670387644
43	0.7658497457
44	0.7649075226
45	0.7640559714
46	0.7631724272
47	0.7621555388
48	0.7611911414
49	0.760299819
50	0.7595625546
51	0.7586956842
52	0.7578246611
53	0.7569197666
54	0.7560690836
55	0.7552960194
56	0.7544613374
57	0.7538698532
58	0.7530268661
59	0.7525380886
60	0.7518009776
61	0.7509655665
62	0.7503004438
63	0.7496309321
64	0.7489792459
65	0.7485361655
66	0.7479304102
67	0.7474646292
68	0.7468096612
69	0.7461951571
70	0.7456540623
71	0.7450898884
72	0.7444238307
73	0.7438351328
74	0.7431889647
75	0.7425380621
76	0.7419849489
77	0.7413663145
78	0.7408617525
79	0.7404581633
80	0.739913395
81	0.7393768773
82	0.7387566137
83	0.7382571652
84	0.7377591458
85	0.7372113752
86	0.736727199
87	0.7361648772
88	0.7358305797
89	0.7354748508
90	0.734957352
91	0.7344314895
92	0.7339873851
93	0.7335691093
94	0.7330880965
95	0.7326976132
96	0.7321366232
97	0.7315606149
98	0.7311990537
99	0.7309006458
100	0.7303440433
101	0.7301089858
102	0.7297273894
103	0.729491687
104	0.7290380458
105	0.7286741728
106	0.7282653696
107	0.7278826922
108	0.7274498327
109	0.7271062491
110	0.7267628967
111	0.7263815532
112	0.7258988839
113	0.7254608254
114	0.7250938238
115	0.7246432004
116	0.7242480418
117	0.7238216299
118	0.7233031051
119	0.7228919048
120	0.7224541666
121	0.7219320097
