iter	Passed	Remaining
0	8	8054
1	14	7179
2	29	9950
3	40	10189
4	53	10681
5	69	11502
6	71	10160
7	73	9166
8	76	8431
9	79	7849
10	81	7333
11	84	6924
12	86	6558
13	88	6237
14	90	5951
15	92	5707
16	94	5488
17	97	5293
18	99	5119
19	101	4964
20	103	4819
21	105	4685
22	107	4566
23	109	4461
24	111	4362
25	114	4270
26	116	4193
27	118	4117
28	120	4046
29	123	3985
30	125	3920
31	128	3873
32	130	3817
33	132	3762
34	134	3713
35	136	3665
36	139	3621
37	141	3577
38	143	3543
39	147	3537
40	150	3509
41	152	3483
42	154	3445
43	157	3416
44	159	3383
45	161	3351
46	163	3319
47	165	3291
48	168	3263
49	170	3236
50	172	3208
51	174	3184
52	176	3156
53	178	3131
54	180	3108
55	183	3088
56	185	3068
57	187	3047
58	190	3031
59	192	3015
60	194	2998
61	196	2978
62	199	2960
63	201	2943
64	203	2926
65	205	2910
66	207	2894
67	209	2877
68	212	2866
69	214	2850
70	216	2834
71	218	2820
72	221	2808
73	223	2795
74	225	2781
75	227	2770
76	230	2758
77	232	2746
78	234	2736
79	236	2723
80	239	2711
81	241	2700
82	243	2691
83	246	2682
84	248	2672
85	250	2661
86	252	2650
87	254	2639
88	256	2628
89	258	2616
90	261	2607
91	263	2597
92	265	2589
93	267	2580
94	269	2570
95	272	2561
96	274	2553
97	276	2544
98	278	2537
99	281	2529
100	283	2520
101	285	2511
102	287	2502
103	289	2494
104	291	2486
105	293	2478
106	296	2471
107	298	2464
108	300	2458
109	302	2450
110	304	2442
111	307	2435
112	309	2426
113	311	2420
114	313	2412
115	315	2405
116	317	2398
117	319	2390
118	322	2385
119	324	2381
120	326	2374
121	328	2367
122	331	2360
123	333	2356
124	336	2357
125	339	2351
126	341	2346
127	343	2340
128	345	2334
129	347	2327
130	349	2321
131	351	2314
132	354	2307
133	356	2302
134	358	2296
135	360	2291
136	362	2285
137	365	2281
138	367	2276
139	369	2270
140	371	2265
141	374	2260
142	376	2255
143	378	2250
144	380	2245
145	383	2240
146	385	2235
147	387	2230
148	389	2227
149	392	2222
150	394	2217
151	396	2213
152	398	2208
153	401	2203
154	403	2199
155	405	2194
156	407	2189
157	410	2186
158	412	2182
159	414	2177
160	416	2172
161	419	2167
162	421	2164
163	423	2159
164	426	2156
165	428	2151
166	430	2146
167	432	2142
